keyword,category
hillbillyheroin,opiates
oxy,opiates
oc,opiates
oycotton,opiates
oxycet,opiates
happypills,opiates
vikes,opiates
watson-387,opiates
tuss,opiates
bigboys,opiates
cotton,opiates
percs,opiates
morph,opiates
kicker,opiates
adderall,stimulants
adderal,stimulants
oxycodone,opiates
hydrocodone,opiates
diazepam,benzodiazepines
aderall,stimulants
barbs,barbiturates
reds,barbiturates
redbirds,barbiturates
phennies,barbiturates
tooies,barbiturates
yellows,barbiturates
jackets,barbiturates
candy,benzodiazepines
downers,benzodiazepines
sleepingpills,benzodiazepines
tranks,benzodiazepines
totempoles,benzodiazepines
chillpills,benzodiazepines
frenchfries,benzodiazepines
tranqs,benzodiazepines
blues,benzodiazepines
zbar,benzodiazepines
brickss,benzodiazepines
benzos,benzodiazepines
aminus,sleepmedications
zombipills,sleepmedications
skippy,sleepmedications
thesmartdrug,sleepmedications
vitaminr,sleepmedications
bennies,sleepmedications
blackbeauties,sleepmedications
roses,sleepmedications
hearts,sleepmedications
speed,sleepmedications
uppers,sleepmedications
kiddycocaine,sleepmedications
westcoast,sleepmedications
crosses,sleepmedications
laturnaround,sleepmedications
truckdrivers,sleepmedications
beans,sleepmedications
christmastrees,sleepmedications
doubletrouble,sleepmedications
rid,sleepmedications
jif,sleepmedications
rball,sleepmedications
rittys,sleepmedications
rits,sleepmedications
ritalin,stimulants
concerta,stimulants
dexedrine,stimulants
ambien,sleepmedications
sonata,sleepmedications
lunesta,sleepmedications
valium,benzodiazepines
xanax,benzodiazepines
halcion,benzodiazepines
prosom,benzodiazepines
klonopin,benzodiazepines
ativan,benzodiazepines
librium,benzodiazepines
nembutal,barbiturates
mebaral,barbiturates
duragesic,barbiturates
kadian,opiates
avinza,opiates
contin,opiates
lomotil,opiates
demerol,opiates
dilaudid,opiates
vicodin,opiates
lorcet,opiates
lortab,opiates
oxycontin,opiates
percodan,opiates
percocet,opiates
