keyword,category
hillbillyheroin,opiates
oxy,opiates
oycotton,opiates
percs,opiates
adderall,stimulants
adderal,stimulants
oxycodone,opiates
hydrocodone,opiates
diazepam,benzodiazepines
aderall,stimulants
downers,benzodiazepines
sleepingpills,benzodiazepines
benzos,benzodiazepines
ritalin,stimulants
concerta,stimulants
dexedrine,stimulants
ambien,sleepmedications
lunesta,sleepmedications
valium,benzodiazepines
xanax,benzodiazepines
klonopin,benzodiazepines
ativan,benzodiazepines
librium,benzodiazepines
duragesic,barbiturates
lomotil,opiates
demerol,opiates
dilaudid,opiates
vicodin,opiates
lortab,opiates
oxycontin,opiates
percodan,opiates
percocet,opiates
